Unnamed: 0,小区名字,总价,户型,建筑面积,单价,朝向,楼层,装修,区域,楼房结构,房源发布时间
0,花果新居二期,76万,1室1厅1卫, 57.43平米 ,13234元/平米,东,高楼层,精装,锦江区, 塔楼, 25天前
1,恒大天府半岛4期,280万,4室1厅1卫, 137.57平米 ,20354元/平米,东南,低楼层,精装,天府新区, 板塔结合, 1年前
2,隆鑫印象城邦,93万,3室2厅1卫, 97.38平米 ,9499元/平米,南,低楼层,精装,新津区, 板塔结合, 1年前
3,华润国际社区,76万,3室1厅1卫, 79.66平米 ,9573元/平米,西,低楼层,简装,龙泉驿区, 板塔结合, 1年前
4,海伦印象,129万,2室1厅2卫, 71.03平米 ,18162元/平米,西北,中楼层,简装,天府新区, 板塔结合, 1年前
5,花桥雅苑,34万,2室2厅1卫, 72.39平米 ,4697元/平米,南北,低楼层,毛坯,新津区, 板塔结合, 1年前
6,格林城,169万,3室1厅1卫, 95.38平米 ,17719元/平米,南,高楼层,毛坯,双流区, 板塔结合, 1年前
7,航丽广场,88万,4室2厅1卫, 142.87平米 ,6160元/平米,东,中楼层,毛坯,彭州市, 板楼, 1年前
8,九峰国际,210万,3室2厅1卫, 109.42平米 ,19193元/平米,东北,高楼层,精装,武侯区, 板楼, 1年前
9,柳城印象,105万,3室2厅2卫, 108.28平米 ,9698元/平米,东北,高楼层,精装,温江区, 板塔结合, 1年前
10,人居锦尚春天A区,106万,2室1厅1卫, 76.86平米 ,13792元/平米,西北,低楼层,简装,锦江区, 板塔结合, 1年前
11,长冶南阳御龙府一期,245万,3室2厅2卫, 117.41平米 ,20868元/平米,北,低楼层,毛坯,高新区, 板塔结合, 1年前
12,上层建筑,125万,2室2厅1卫, 80.41平米 ,15546元/平米,西南,低楼层,简装,金牛区, 塔楼, 2个月前
13,蔚蓝卡地亚云墅,220万,4室2厅1卫, 189.83平米 ,11590元/平米,南北,中楼层,精装,郫都区, 暂无数据, 1年前
14,万科城,138万,3室2厅1卫, 92.37平米 ,14940元/平米,东南,低楼层,精装,郫都区, 板塔结合, 1年前
15,阳光华庭,58万,2室1厅3卫, 35.13平米 ,16511元/平米,东西,中楼层,精装,天府新区, 板塔结合, 1年前
16,天府江南C区,50万,2室1厅1卫, 52.13平米 ,9573元/平米,东,低楼层,精装,新都区, 板楼, 1个月前
17,麓山国际半月湾,160万,2室1厅1卫, 91.52平米 ,17483元/平米,东,低楼层,毛坯,天府新区, 塔楼, 1年前
18,美好家园,165万,3室2厅2卫, 119.84平米 ,13769元/平米,东北,中楼层,简装,双流区, 板塔结合, 1个月前
19,合能珍宝琥珀,88万,3室2厅3卫, 84.77平米 ,10382元/平米,西,高楼层,精装,温江区, 板塔结合, 1年前
20,津尚都,79万,3室2厅2卫, 117.41平米 ,6729元/平米,东北,低楼层,其他,新津区, 塔楼, 2个月前
21,祥和苑,70万,2室2厅1卫, 100.79平米 ,6946元/平米,南,中楼层,简装,双流区, 暂无数据, 2个月前
22,芙蓉古城紫云园,355万,5室2厅1卫, 223.08平米 ,15914元/平米,东南,低楼层,其他,温江区, 板楼, 1年前
23,红牌楼广场,188万,3室2厅2卫, 98.75平米 ,19038元/平米,西南,低楼层,简装,武侯区, 板楼, 31天前
24,鹭湖宫10区,96万,3室1厅1卫, 101.71平米 ,9439元/平米,北,高楼层,精装,温江区, 塔楼, 1年前
25,博园世家,96万,5室2厅1卫, 176.59平米 ,5437元/平米,东南,低楼层,简装,郫都区, 板楼, 1年前
26,锦和康城▪锦绣苑,70万,2室1厅1卫, 58.61平米 ,11944元/平米,东,中楼层,毛坯,锦江区, 板塔结合, 1年前
27,中房蓝水湾,136万,3室1厅2卫, 110.24平米 ,12337元/平米,东北,低楼层,简装,成华区, 塔楼, 1年前
28,保利拉斐云邸,145万,4室2厅2卫, 134.67平米 ,10768元/平米,东南,中楼层,其他,新都区, 板塔结合, 1年前
29,和信孔雀天成,112万,3室2厅1卫, 126.81平米 ,8833元/平米,西北,低楼层,简装,温江区, 板塔结合, 1年前
30,金河谷五期,178万,4室2厅1卫, 125.44平米 ,14191元/平米,西南,高楼层,毛坯,温江区, 板楼, 1年前
31,朝阳时代西锦,74万,2室1厅2卫, 86.6平米 ,8522元/平米,东南,高楼层,精装,新都区, 板塔结合, 1年前
32,听湖九园,82万,3室1厅1卫, 113.42平米 ,7213元/平米,西南,中楼层,其他,青白江区, 板塔结合, 3个月前
